%  columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=1068068, Thu Aug 17 17:07:08 2017
0 0 0.0 0 0 0.0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 12 -0.025989177639 -6.08894818485e-05 3.82672423129e-05 0.0162530094406 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 24 -0.0359560962425 -0.000219382136021 4.49511912474e-05 0.0605394857211 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 36 -0.0723616026826 -5.66675807688e-05 6.38069980082e-05 0.0695132301739 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 48 -0.0939830177585 -0.000763718146058 0.000204669825444 0.0874000022071 0.926153275053 0.930709622364 0.952148143582 0.962651636588 0.971004220653 0.974266079566 0.981428652936 0.984275382416 0.990618954836 0.996551193826 0.997321734613 0.998876324825 1.00045556224 1.01046792624 1.01734826149 1.02010900378 1.0295656606 1.03606745821 1.03714674612 1.15980845499
5 60 -0.113696620105 -0.000141286457424 0.000548486056736 0.0925770370284 0.926153275053 0.930709622364 0.952148143582 0.962651636588 0.971004220653 0.974266079566 0.981428652936 0.984275382416 0.990618954836 0.996551193826 0.997321734613 0.998876324825 1.00045556224 1.01046792624 1.01734826149 1.02010900378 1.0295656606 1.03606745821 1.03714674612 1.15980845499
6 72 -0.121078842049 -9.00216923942e-05 0.00123691967958 0.105440799632 0.904855168463 0.923923429581 0.933980119366 0.949758900224 0.960497514585 0.966473707128 0.973174469836 0.976022606166 0.983260562161 0.987684392577 0.999438452783 1.00060021031 1.00563824297 1.00994390485 1.01830753795 1.02923693171 1.03386755817 1.05175867759 1.05420160936 1.20022209136
7 84 -0.122932792218 -0.00040989346793 0.00142661331458 0.102069579496 0.904855168463 0.923923429581 0.933980119366 0.949758900224 0.960497514585 0.966473707128 0.973174469836 0.976022606166 0.983260562161 0.987684392577 0.999438452783 1.00060021031 1.00563824297 1.00994390485 1.01830753795 1.02923693171 1.03386755817 1.05175867759 1.05420160936 1.20022209136
8 96 -0.11723833193 -0.000602890977415 0.000216871476024 0.106451993149 0.903071700075 0.921614209394 0.928913316162 0.936647220633 0.943922191604 0.95098152532 0.966018440057 0.971956827394 0.983001154396 0.987926825198 0.999477129682 1.00314748974 1.00674167428 1.01440364784 1.02736064689 1.03554320701 1.0383578678 1.06057939081 1.06392068539 1.21193972608
9 108 -0.121804009888 -0.000333543934083 0.00097342619664 0.118550191709 0.903071700075 0.921614209394 0.928913316162 0.936647220633 0.943922191604 0.95098152532 0.966018440057 0.971956827394 0.983001154396 0.987926825198 0.999477129682 1.00314748974 1.00674167428 1.01440364784 1.02736064689 1.03554320701 1.0383578678 1.06057939081 1.06392068539 1.21193972608
10 120 -0.127820748534 -0.00144698239583 0.000491076588673 0.112623939199 0.894153496742 0.9117500876 0.917353708217 0.928914143135 0.945895286111 0.954120094582 0.967926381093 0.976115466226 0.98223142425 0.989160659062 0.992000972507 1.0057315898 1.01125369522 1.01769457264 1.02579995783 1.03922906832 1.04534845475 1.05435425899 1.07200079458 1.21944898723
11 132 -0.133775040036 -0.000189455904782 0.000778148977559 0.120952293389 0.894153496742 0.9117500876 0.917353708217 0.928914143135 0.945895286111 0.954120094582 0.967926381093 0.976115466226 0.98223142425 0.989160659062 0.992000972507 1.0057315898 1.01125369522 1.01769457264 1.02579995783 1.03922906832 1.04534845475 1.05435425899 1.07200079458 1.21944898723
12 144 -0.144599974009 -0.00143124573897 5.53495371756e-05 0.129463069095 0.88132726653 0.89703184096 0.905387262964 0.920811195068 0.946129118951 0.953768761349 0.96397295951 0.976215867555 0.977792546138 0.980041530377 0.99364024068 1.00194227132 1.01512024021 1.0168583777 1.02902722962 1.04630601265 1.04956924487 1.06483543351 1.0852675285 1.23480052484
13 156 -0.139017067941 -0.000230265691384 0.000134817119237 0.131959240736 0.88132726653 0.89703184096 0.905387262964 0.920811195068 0.946129118951 0.953768761349 0.96397295951 0.976215867555 0.977792546138 0.980041530377 0.99364024068 1.00194227132 1.01512024021 1.0168583777 1.02902722962 1.04630601265 1.04956924487 1.06483543351 1.0852675285 1.23480052484
14 168 -0.141367689514 -0.000212505769299 0.000145066564691 0.131953521003 0.872987254346 0.889110507847 0.905860935421 0.922801050003 0.935435646269 0.95347513861 0.960323596358 0.969474794546 0.975265870558 0.992561407784 0.993945128203 1.00019734265 1.01481496876 1.02374403948 1.02964808644 1.04325796485 1.05605538591 1.06358323463 1.08862751838 1.24350045087
15 180 -0.141070447854 -0.00172416681984 0.000129394405173 0.135577541271 0.872987254346 0.889110507847 0.905860935421 0.922801050003 0.935435646269 0.95347513861 0.960323596358 0.969474794546 0.975265870558 0.992561407784 0.993945128203 1.00019734265 1.01481496876 1.02374403948 1.02964808644 1.04325796485 1.05605538591 1.06358323463 1.08862751838 1.24350045087
16 192 -0.139019882479 -8.96024243585e-06 0.000799607550818 0.144436555449 0.864208154093 0.871736010782 0.910187790767 0.913583349727 0.928493453098 0.946649800261 0.958381865329 0.967652330998 0.970674094863 0.98141799401 0.995567356195 1.00666738154 1.01920339883 1.03173771407 1.03794218741 1.04782170388 1.06105949141 1.0707390729 1.09384353124 1.24891663188
17 204 -0.142877985536 -7.0752518089e-05 4.69661022387e-05 0.161401072934 0.864208154093 0.871736010782 0.910187790767 0.913583349727 0.928493453098 0.946649800261 0.958381865329 0.967652330998 0.970674094863 0.98141799401 0.995567356195 1.00666738154 1.01920339883 1.03173771407 1.03794218741 1.04782170388 1.06105949141 1.0707390729 1.09384353124 1.24891663188
18 216 -0.137801693216 -0.00199804930888 0.000636765619177 0.156839158497 0.857815042021 0.870855973369 0.909212439376 0.909907806687 0.933922880987 0.94199842396 0.950000480736 0.956540474806 0.970792169057 0.987170186173 1.00190024983 1.00608538661 1.02184277588 1.03465573378 1.04270350119 1.04778320695 1.05908255162 1.08228574283 1.08670836036 1.25198926687
19 228 -0.135462122279 -0.000606615021573 0.00086522613933 0.163698791416 0.857815042021 0.870855973369 0.909212439376 0.909907806687 0.933922880987 0.94199842396 0.950000480736 0.956540474806 0.970792169057 0.987170186173 1.00190024983 1.00608538661 1.02184277588 1.03465573378 1.04270350119 1.04778320695 1.05908255162 1.08228574283 1.08670836036 1.25198926687
20 240 -0.134948469432 -0.000320035199097 0.000392434219688 0.150055480544 0.853872601039 0.873633192606 0.907384175155 0.911044488006 0.931524440251 0.942540886937 0.943782584444 0.961243832473 0.969856768243 0.987325544129 1.00254033087 1.01834506709 1.02214894055 1.0329735512 1.04741785344 1.05206953283 1.06264086955 1.06833000531 1.08870566089 1.24674077726
21 252 -0.132187210801 -0.00357217996455 0.000593426036668 0.141019925659 0.853872601039 0.873633192606 0.907384175155 0.911044488006 0.931524440251 0.942540886937 0.943782584444 0.961243832473 0.969856768243 0.987325544129 1.00254033087 1.01834506709 1.02214894055 1.0329735512 1.04741785344 1.05206953283 1.06264086955 1.06833000531 1.08870566089 1.24674077726
